Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;1118353;Служебная группа;Духи женские мон париж 90 мл;шт.;4,000;299,00;1196,00;
;;;1118446;Химия/Для себя;Крем гель от рубцов 20 гр;шт.;5,000;55,00;275,00;
;;;1118951;Сладкое/Батончики/бисквиты/Батончики/Пирожные;Батончик сникерс больше арахиса 87 гр;шт.;1,000;79,99;79,99;
;;;111387;Продукты Питания/Молочка/Йогурт/Пудинг;Кетчуп Слабода чесночный 320гр;шт.;2,000;81,65;163,30;
;;;95508;Химия/Бытовая химия;Перос 1л;шт.;12,000;67,00;804,00;
;;;96128;Напитки/Кофе/Какао/Сливки/Кофе;Кофе Маккофе 3 в 1 Оригинал 20г х 50 х 20;шт.;12,000;600,00;7200,00;
;;;2000999844339;ДЛЯ КАССЫ/Химия;Детская паста Амвэй;шт.;2,000;260,00;520,00;
;;;2000999844209;Детские товары;Гель для интимной гигиены Лилу;шт.;3,000;317,00;951,00;
;;;109522;Детские товары;Подгузники Хаггис девочкам 5 48шт;шт.;2,000;1080,00;2160,00;
;;;1119281;Сладкое/Прочее/Милка;Милка ассорти 152 гр;шт.;3,000;150,00;450,00;
